,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(13,)",[0.69457064 0.69920181 0.67248202 0.70149027],0.6919361867345585,"('type',)",0.018442555888224625,0.011505159514961097,0.006642506943032373
2,"(13, 15)",[0.7667711  0.76707224 0.74313055 0.76063165],0.7594013834395636,"('type', 'monthly_charges')",0.015611762632745026,0.009739204288605318,0.005622932217719038
3,"(13, 15, 16)",[0.81359436 0.81034921 0.78600194 0.80657069],0.8041290488448483,"('type', 'monthly_charges', 'total_charges')",0.017242968066943854,0.010756811546290875,0.006210448041873111
4,"(13, 14, 15, 16)",[0.81488146 0.81002138 0.79834402 0.82342802],0.8116687190891461,"('type', 'payment_method', 'monthly_charges', 'total_charges')",0.014534718521964371,0.009067303692273506,0.005235010227558197
5,"(0, 13, 14, 15, 16)",[0.82428052 0.81428312 0.80420732 0.82707652],0.8174618714080648,"('paperless_billing_Yes', 'type', 'payment_method', 'monthly_charges', 'total_charges')",0.014442920312966375,0.009010036519322494,0.005201947009839201
6,"(0, 2, 13, 14, 15, 16)",[0.8299541  0.81770651 0.81079754 0.83492348],0.8233454073686034,"('paperless_billing_Yes', 'online_security_Yes', 'type', 'payment_method', 'monthly_charges', 'total_charges')",0.015353781638101263,0.00957826604809279,0.005530014481236226
7,"(0, 1, 2, 13, 14, 15, 16)",[0.83762496 0.81925235 0.80994104 0.83436965],0.8252970000134159,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'type', 'payment_method', 'monthly_charges', 'total_charges')",0.018040391602502828,0.0112542743184356,0.006497658307282686
8,"(0, 1, 2, 8, 13, 14, 15, 16)",[0.84028324 0.82062844 0.81026369 0.83908301],0.8275645942163958,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'gender_Male', 'type', 'payment_method', 'monthly_charges', 'total_charges')",0.02030588009187895,0.01266757118507124,0.007313625633679628
9,"(0, 1, 2, 3, 8, 13, 14, 15, 16)",[0.84140606 0.82135018 0.81245611 0.84118418],0.8290991291944301,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'gender_Male', 'type', 'payment_method', 'monthly_charges', 'total_charges')",0.02018969567442078,0.012595090978742432,0.00727177916704477
10,"(0, 1, 2, 3, 5, 8, 13, 14, 15, 16)",[0.84392851 0.82327956 0.81371947 0.84338392],0.8310778643669217,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'gender_Male', 'type', 'payment_method', 'monthly_charges', 'total_charges')",0.020880416911852263,0.013025988846976332,0.007520558167262848
