iter	Logloss
0	0.6849951446
1	0.6764105641
2	0.6692109008
3	0.6624048808
4	0.6539148757
5	0.6474451098
6	0.6410310916
7	0.6346707377
8	0.6278481134
9	0.6215417395
10	0.6170435362
11	0.6109816188
12	0.6059943761
13	0.6009671061
14	0.5957319975
15	0.5902442249
16	0.5851594394
17	0.5804250502
18	0.5762851349
19	0.5720530433
20	0.5689413988
21	0.5654469701
22	0.5619122617
23	0.5590372451
24	0.5557605671
25	0.5525349018
26	0.5495261033
27	0.5468602512
28	0.5443123973
29	0.5421746649
30	0.5391521031
31	0.5369011074
32	0.5350414822
33	0.5333410189
34	0.5315671934
35	0.5292732032
36	0.5274754497
37	0.5250579053
38	0.5229510772
39	0.5213476831
40	0.5194713588
41	0.5176808974
42	0.5160513973
43	0.5146233276
44	0.5125890409
45	0.5111508065
46	0.5099173804
47	0.5086466102
48	0.5073095488
49	0.5060428192
50	0.5046352366
51	0.5038120265
52	0.5024052647
53	0.5013415124
54	0.5000688797
55	0.4988235527
56	0.4978137803
57	0.496517409
58	0.4955424237
59	0.4942851012
60	0.4932114998
61	0.4921263449
62	0.4912668325
63	0.4902835135
64	0.4895766602
65	0.4887642461
66	0.4879391735
67	0.4871683966
68	0.4861951159
69	0.4852827599
70	0.4843106157
71	0.4834835228
72	0.4828498108
73	0.4821862677
74	0.4814789725
75	0.4808881603
76	0.4802790707
77	0.4792934788
78	0.4786325558
79	0.4778804351
80	0.4771781906
81	0.4766199242
82	0.4760722644
83	0.4753362746
84	0.4749157676
85	0.4741304382
86	0.4735797795
87	0.4729493189
88	0.4724293436
89	0.4720470013
90	0.4714894294
91	0.4708216879
92	0.4703039223
93	0.4697415838
94	0.469267665
95	0.4688344048
96	0.4682643008
97	0.4679476815
98	0.4674592103
99	0.4669994652
100	0.4665275983
101	0.4661205705
102	0.4656803971
103	0.4654000802
104	0.465008394
105	0.4646438873
106	0.4640972061
107	0.463565614
108	0.4630718079
109	0.4627338492
110	0.462278713
111	0.4618668238
112	0.4614890904
113	0.4610589238
114	0.4606853573
115	0.4602366923
116	0.459843049
117	0.4594631375
118	0.4589514643
119	0.4584563324
120	0.4580391084
121	0.4577802571
122	0.4573118942
123	0.456901836
124	0.4566065877
125	0.456230117
126	0.4559134346
127	0.4555072907
128	0.4551420894
129	0.4548558694
130	0.4546127071
131	0.4543015805
132	0.4538198962
133	0.4535564677
134	0.4532835375
135	0.453002747
136	0.4527133387
137	0.4524906004
138	0.4521341117
139	0.4517443512
140	0.4513895356
141	0.4510592161
142	0.4506179379
143	0.4502199068
144	0.4499050553
145	0.4495942444
146	0.4493573955
147	0.4491299536
148	0.4488992919
149	0.4486621589
150	0.4483929852
151	0.4479995944
152	0.4476204721
153	0.4473413546
154	0.4471175746
155	0.4468895014
156	0.446544156
157	0.446357278
158	0.44608681
159	0.4457517555
160	0.4455286068
161	0.4452952934
162	0.4450370735
163	0.4448102946
164	0.4445534952
165	0.4442748828
166	0.4440074769
167	0.4438129281
168	0.44359805
169	0.4432283978
170	0.4429839412
171	0.4428437827
172	0.4425906136
173	0.4423805021
174	0.4421986433
175	0.4418236878
176	0.4416514571
177	0.4414455756
178	0.4413140981
179	0.4410654747
180	0.4406975586
181	0.4404530705
182	0.4402328891
183	0.4399482474
184	0.4396142662
185	0.4392682894
186	0.4390937226
187	0.4388902087
188	0.4385695489
189	0.4384279067
190	0.4381876486
191	0.4379418977
192	0.4377648056
193	0.4375805793
194	0.437264402
195	0.4369153947
196	0.436675105
197	0.4365228878
198	0.4362053847
199	0.4360132034
200	0.4356815897
201	0.435379523
202	0.4351339931
203	0.4349551332
204	0.4347963816
205	0.4345333951
206	0.4343648261
207	0.4342126721
208	0.4340193228
209	0.4338036555
210	0.4336070864
211	0.4334183775
212	0.4332100339
213	0.433059837
214	0.4328514933
215	0.4326390143
216	0.4324856292
217	0.4323227423
218	0.4321114313
219	0.4319105059
220	0.4316720787
221	0.4315326778
222	0.431207851
223	0.431045343
224	0.4307999394
225	0.4304856245
226	0.430185578
227	0.4300459246
228	0.4298750512
229	0.4296195777
230	0.4293087037
231	0.4290598277
232	0.4288709925
233	0.4286168448
234	0.4283092537
235	0.4280132479
236	0.4279001741
237	0.4276480782
238	0.4275175793
239	0.4273470216
240	0.4271812937
241	0.4270507001
242	0.4268072852
243	0.4266848359
244	0.4263952066
245	0.4260176311
246	0.425846663
247	0.425687501
248	0.4255403977
