iter	Passed	Remaining
0	67	67180
1	74	37174
2	81	27076
3	88	21952
4	94	18838
5	101	16793
6	108	15330
7	114	14231
8	121	13394
9	128	12720
10	136	12281
11	143	11809
12	150	11418
13	157	11082
14	164	10786
15	170	10509
16	177	10258
17	184	10046
18	191	9862
19	199	9774
20	206	9631
21	214	9518
22	221	9403
23	228	9273
24	234	9160
25	241	9056
26	248	8952
27	256	8917
28	264	8860
29	271	8779
30	278	8708
31	285	8636
32	294	8615
33	300	8549
34	310	8566
35	318	8518
36	324	8455
37	331	8393
38	338	8346
39	345	8297
40	353	8258
41	360	8224
42	367	8180
43	376	8173
44	383	8130
45	389	8087
46	397	8067
47	404	8028
48	411	7992
49	418	7955
50	425	7920
51	432	7883
52	439	7851
53	446	7813
54	452	7780
55	459	7753
56	466	7724
57	473	7688
58	480	7656
59	487	7631
60	491	7568
61	498	7541
62	505	7517
63	511	7487
64	518	7463
65	525	7440
66	532	7413
67	540	7402
68	546	7377
69	553	7355
70	560	7334
71	567	7312
72	574	7292
73	580	7267
74	587	7246
75	594	7231
76	601	7213
77	615	7274
78	622	7254
79	629	7234
80	636	7222
81	643	7199
82	650	7187
83	657	7168
84	664	7148
85	671	7137
86	678	7119
87	685	7099
88	691	7079
89	698	7065
90	705	7047
91	712	7027
92	718	7009
93	725	6990
94	732	6975
95	739	6959
96	748	6965
97	755	6949
98	762	6935
99	768	6918
100	775	6902
101	782	6885
102	788	6870
103	797	6874
104	805	6863
105	812	6849
106	818	6830
107	824	6813
108	831	6797
109	838	6784
110	845	6775
111	852	6761
112	859	6744
113	865	6729
114	872	6715
115	879	6701
116	887	6694
117	893	6682
118	901	6671
119	908	6661
120	915	6648
121	923	6646
122	930	6633
123	937	6621
124	944	6610
125	951	6598
126	957	6584
127	964	6573
128	971	6562
129	979	6552
130	986	6541
131	993	6529
132	1000	6525
133	1008	6516
134	1015	6505
135	1022	6494
136	1029	6482
137	1035	6470
138	1043	6464
139	1050	6454
140	1057	6442
141	1064	6429
142	1070	6415
143	1077	6405
144	1085	6399
145	1091	6386
146	1098	6375
147	1105	6364
148	1113	6359
149	1120	6349
150	1127	6339
151	1133	6326
152	1140	6316
153	1148	6306
154	1156	6303
